specification,group,mean_monthly_net_return
R0_residual_level,1,0.007571100358675114
R0_residual_level,2,0.0073063023181656845
R0_residual_level,3,0.008680006045765864
R0_residual_level,4,0.009363010666074726
R0_residual_level,5,0.010071891375982842
R0_residual_level,6,0.01089604653556522
R0_residual_level,7,0.011270269566396004
R0_residual_level,8,0.01215001056761304
R0_residual_level,9,0.013731259963731514
R0_residual_level,10,0.013700357642934381
R1_level_change,1,0.0031445457321164867
R1_level_change,2,0.00711309356592854
R1_level_change,3,0.006976301684472103
R1_level_change,4,0.00916414828822871
R1_level_change,5,0.01029852496666793
R1_level_change,6,0.011438156602528046
R1_level_change,7,0.010555102702999367
R1_level_change,8,0.013065258166828124
R1_level_change,9,0.013306363687298692
R1_level_change,10,0.014631469433149089
R2_roe_shrinkage,1,0.0030878799202567523
R2_roe_shrinkage,2,0.0071432139605792574
R2_roe_shrinkage,3,0.006979489243482628
R2_roe_shrinkage,4,0.009320643295912116
R2_roe_shrinkage,5,0.010253697865935421
R2_roe_shrinkage,6,0.011620234998520745
R2_roe_shrinkage,7,0.010426055703729285
R2_roe_shrinkage,8,0.01302962970673792
R2_roe_shrinkage,9,0.013107221134701669
R2_roe_shrinkage,10,0.014688416808867887
R3_confidence,1,0.003423433593825922
R3_confidence,2,0.006401988675531276
R3_confidence,3,0.007266101457439534
R3_confidence,4,0.009584198131188229
R3_confidence,5,0.01010823932750894
R3_confidence,6,0.011609760241474351
R3_confidence,7,0.010215379701972189
R3_confidence,8,0.012550891371422056
R3_confidence,9,0.014197715525614451
R3_confidence,10,0.01428786043536621
