specification,period,months,mean_rank_ic,annualized_g10_g1
R0_residual_level,2012-2016,57,0.04979700757457074,0.11466236407349764
R0_residual_level,2017-2021,60,0.02044799753298789,0.04154118461321974
R0_residual_level,2022-2026,54,0.02940943251969986,0.06572240959847162
R1_level_change,2012-2016,57,0.06606766901277215,0.20270900500643318
R1_level_change,2017-2021,60,0.031078758744277058,0.09229995915836328
R1_level_change,2022-2026,54,0.039442483283756866,0.11997697406760022
R2_roe_shrinkage,2012-2016,57,0.0660949263671781,0.2108691850141884
R2_roe_shrinkage,2017-2021,60,0.030611883766702645,0.08944086315281476
R2_roe_shrinkage,2022-2026,54,0.039597827812123725,0.11885752519356341
R3_confidence,2012-2016,57,0.06706003025776738,0.2084989156476335
R3_confidence,2017-2021,60,0.03087108399261541,0.0767450589316008
R3_confidence,2022-2026,54,0.03949910677629908,0.10749374353758363
