specification,group,mean_monthly_net_return
pbroe_common,1,0.006159285874067333
pbroe_common,2,0.006747759337086096
pbroe_common,3,0.008388563809314714
pbroe_common,4,0.007902346807077593
pbroe_common,5,0.010685497930485285
pbroe_common,6,0.012890791821266727
pbroe_common,7,0.010414978449752005
pbroe_common,8,0.012109165494475
pbroe_common,9,0.011831205996707337
pbroe_common,10,0.012995756198017338
revision_common,1,0.004983535421301011
revision_common,2,0.006484015114626474
revision_common,3,0.00960987846883329
revision_common,4,0.006680765593467713
revision_common,5,0.00858635483267937
revision_common,6,0.009964813191228137
revision_common,7,0.009732608925885677
revision_common,8,0.011867162066387098
revision_common,9,0.012392308824570234
revision_common,10,0.017174595391774013
combined_50_50,1,0.0037542260679887586
combined_50_50,2,0.0069497618451177185
combined_50_50,3,0.006941913488063357
combined_50_50,4,0.009587494371734489
combined_50_50,5,0.008032309080499974
combined_50_50,6,0.00888810919837668
combined_50_50,7,0.01160535652839567
combined_50_50,8,0.011755535702921469
combined_50_50,9,0.014155424509991412
combined_50_50,10,0.016924727251443214
